<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20240927;000000;0.08544;0.08642;0.085;0.0863;1203710000;0.00142;0.0021198;;;;;
20240930;000000;0.0865;0.08916;0.08538;0.08552;2916380000;0.00378;0.001820478;;;;;
20241001;000000;0.08538;0.08552;0.083;0.0835;3140600000;0.00252;0.002459206;;;;;
20241002;000000;0.0833;0.08506;0.08112;0.08242;3283220000;0.00394;0.002594612;;;;;
20241003;000000;0.08242;0.08296;0.0812;0.0823;1494540000;0.00176;0.002934654;;;;;
20241004;000000;0.0828;0.08416;0.08198;0.08332;2003510000;0.00218;0.002618704;;;;;
20241007;000000;0.08332;0.0837;0.08136;0.08234;1766810000;0.00234;0.002732538;;;;;
20241008;000000;0.08234;0.08396;0.08128;0.08386;1968120000;0.00268;0.002489598;;;;;
20241009;000000;0.084;0.08462;0.08208;0.08282;1239660000;0.00254;0.002587388;;;;;
20241010;000000;0.08304;0.08344;0.08242;0.08276;593500000;0.00102;0.002343602;;;;;
20241011;000000;0.08288;0.08298;0.0819;0.08198;622710000;0.00108;0.002044018;;;;;
20241014;000000;0.08198;0.08378;0.08136;0.0834;1047990000;0.00242;0.001798052;;;;;
20241015;000000;0.08338;0.0848;0.083;0.08436;1033580000;0.0018;0.001952574;;;;;
20241016;000000;0.08446;0.0876;0.08284;0.08324;1950650000;0.00476;0.001803652;;;;;
20241017;000000;0.08324;0.08362;0.08212;0.08234;727820000;0.0015;0.002495936;;;;;
20241018;000000;0.08246;0.08318;0.0819;0.0827;773360000;0.00128;0.00231431;;;;;
20241021;000000;0.08274;0.08374;0.08274;0.08306;863920000;0.001;0.00222386;;;;;
20241022;000000;0.08306;0.08326;0.08076;0.081;1189020000;0.0025;0.001885224;;;;;
20241023;000000;0.08072;0.08082;0.07874;0.07876;1446770000;0.00208;0.00219285;;;;;
20241024;000000;0.07876;0.07954;0.0776;0.07846;2368170000;0.00194;0.001749364;;;;;
20241025;000000;0.0784;0.07958;0.07694;0.077;3879740000;0.00264;0.001806738;;;;;
20241028;000000;0.07696;0.07698;0.07386;0.0743;2407900000;0.00312;0.002091504;;;;;
20241029;000000;0.07434;0.07688;0.07434;0.07666;2101680000;0.00254;0.0025373;;;;;
20241030;000000;0.0765;0.078;0.0755;0.07554;1504130000;0.0025;0.002505726;;;;;
20241031;000000;0.07556;0.07594;0.07246;0.07334;3062340000;0.00348;0.00254609;;;;;
